Date,Description,Amount,Category
2024-02-01,Swiggy order - biryani,450,
2024-02-02,Metro card recharge,500,
2024-02-03,Electricity bill payment,1200,
2024-02-04,Amazon headphones purchase,2499,
2024-02-05,Uber ride to office,180,
2024-02-06,Netflix monthly subscription,649,
2024-02-07,Grocery shopping at DMart,1350,
2024-02-08,Udemy Python course,499,
2024-02-09,Apollo pharmacy medicines,780,
2024-02-10,Zomato dinner order,620,
2024-02-11,Petrol fill-up,1500,
2024-02-12,Myntra clothes sale,1899,
2024-02-13,WiFi bill February,799,
2024-02-14,Movie tickets - PVR,600,
2024-02-15,Gym membership renewal,2000,
2024-02-16,Flipkart electronics sale,3499,
2024-02-17,Cafe Coffee Day,320,
2024-02-18,Phone recharge Jio,399,
2024-02-19,Book - Atomic Habits,250,
2024-02-20,Spotify annual plan,1189,
